,path,label
3146,train\happy\Training_85392443.jpg,3
6813,train\surprise\Training_66895964.jpg,6
591,train\angry\Training_95101318.jpg,0
4987,train\neutral\Training_92111170.jpg,4
3378,train\happy\Training_88255642.jpg,3
5613,train\sad\Training_77054367.jpg,5
6349,train\sad\Training_92805253.jpg,5
7565,train\surprise\Training_89837846.jpg,6
3018,train\happy\Training_83502339.jpg,3
7801,train\surprise\Training_97921487.jpg,6
5274,train\neutral\Training_97730202.jpg,4
7488,train\surprise\Training_87715646.jpg,6
3889,train\happy\Training_95364050.jpg,3
5985,train\sad\Training_84743320.jpg,5
5906,train\sad\Training_82908229.jpg,5
443,train\angry\Training_91606902.jpg,0
5898,train\sad\Training_82783771.jpg,5
3912,train\happy\Training_95637568.jpg,3
1308,train\disgust\Training_89701855.jpg,1
1740,train\fear\Training_83475969.jpg,2
153,train\angry\Training_84203856.jpg,0
4173,train\happy\Training_99304156.jpg,3
3931,train\happy\Training_95907334.jpg,3
2642,train\happy\Training_78148453.jpg,3
5682,train\sad\Training_78373088.jpg,5
1920,train\fear\Training_87743488.jpg,2
2935,train\happy\Training_82298669.jpg,3
2187,train\fear\Training_93927977.jpg,2
4357,train\neutral\Training_79380425.jpg,4
2706,train\happy\Training_79076701.jpg,3
127,train\angry\Training_83642350.jpg,0
2378,train\fear\Training_98683419.jpg,2
7010,train\surprise\Training_72051445.jpg,6
7706,train\surprise\Training_94607952.jpg,6
2567,train\happy\Training_77249914.jpg,3
1075,train\disgust\Training_43870418.jpg,1
3340,train\happy\Training_87828970.jpg,3
4737,train\neutral\Training_86902159.jpg,4
2349,train\fear\Training_97973624.jpg,2
6312,train\sad\Training_91768604.jpg,5
624,train\angry\Training_95726878.jpg,0
6278,train\sad\Training_90993617.jpg,5
5911,train\sad\Training_83044033.jpg,5
4702,train\neutral\Training_86357493.jpg,4
2415,train\fear\Training_99380094.jpg,2
4235,train\neutral\Training_77165599.jpg,4
310,train\angry\Training_88371146.jpg,0
3688,train\happy\Training_92472597.jpg,3
4927,train\neutral\Training_91034710.jpg,4
5357,train\neutral\Training_99339110.jpg,4
921,train\disgust\PublicTest_98815442.jpg,1
7088,train\surprise\Training_74692648.jpg,6
5691,train\sad\Training_78637258.jpg,5
3653,train\happy\Training_92092581.jpg,3
4496,train\neutral\Training_82343870.jpg,4
5971,train\sad\Training_84543634.jpg,5
4886,train\neutral\Training_90191847.jpg,4
1295,train\disgust\Training_86653280.jpg,1
1312,train\disgust\Training_91127589.jpg,1
2055,train\fear\Training_90969633.jpg,2
49,train\angry\Training_81508027.jpg,0
6079,train\sad\Training_86534033.jpg,5
532,train\angry\Training_93993129.jpg,0
3338,train\happy\Training_87821051.jpg,3
6926,train\surprise\Training_69878952.jpg,6
7534,train\surprise\Training_89087843.jpg,6
7821,train\surprise\Training_98349673.jpg,6
7497,train\surprise\Training_87922292.jpg,6
7404,train\surprise\Training_84926165.jpg,6
4917,train\neutral\Training_90891954.jpg,4
4932,train\neutral\Training_91176846.jpg,4
7201,train\surprise\Training_77853139.jpg,6
3289,train\happy\Training_87125785.jpg,3
1881,train\fear\Training_86638824.jpg,2
6290,train\sad\Training_91238304.jpg,5
903,train\disgust\PublicTest_75779.jpg,1
262,train\angry\Training_87181860.jpg,0
5858,train\sad\Training_81817629.jpg,5
889,train\disgust\PublicTest_48565094.jpg,1
5096,train\neutral\Training_94184686.jpg,4
6198,train\sad\Training_89232777.jpg,5
312,train\angry\Training_88395874.jpg,0
1868,train\fear\Training_86196253.jpg,2
1608,train\fear\Training_80038947.jpg,2
7008,train\surprise\Training_72026035.jpg,6
6372,train\sad\Training_93256665.jpg,5
1320,train\disgust\Training_92872071.jpg,1
3404,train\happy\Training_88534997.jpg,3
4332,train\neutral\Training_78952706.jpg,4
6833,train\surprise\Training_67515730.jpg,6
7413,train\surprise\Training_85075254.jpg,6
2736,train\happy\Training_79484871.jpg,3
4568,train\neutral\Training_83955947.jpg,4
3981,train\happy\Training_96512550.jpg,3
4039,train\happy\Training_97412025.jpg,3
6456,train\sad\Training_94911855.jpg,5
1175,train\disgust\Training_63156802.jpg,1
3751,train\happy\Training_93336434.jpg,3
350,train\angry\Training_89385415.jpg,0
2357,train\fear\Training_98083935.jpg,2
5199,train\neutral\Training_96278012.jpg,4
2015,train\fear\Training_89998154.jpg,2
7145,train\surprise\Training_76203484.jpg,6
4591,train\neutral\Training_84437455.jpg,4
973,train\disgust\Training_2036746.jpg,1
2993,train\happy\Training_83239385.jpg,3
7546,train\surprise\Training_89353263.jpg,6
5931,train\sad\Training_83580799.jpg,5
3259,train\happy\Training_86756677.jpg,3
407,train\angry\Training_90628385.jpg,0
1158,train\disgust\Training_61263973.jpg,1
2533,train\happy\Training_76820039.jpg,3
7774,train\surprise\Training_96914394.jpg,6
4756,train\neutral\Training_87408544.jpg,4
3097,train\happy\Training_84629224.jpg,3
7649,train\surprise\Training_92479434.jpg,6
672,train\angry\Training_96737124.jpg,0
7173,train\surprise\Training_76911509.jpg,6
1704,train\fear\Training_82449946.jpg,2
1780,train\fear\Training_84244523.jpg,2
6359,train\sad\Training_93007220.jpg,5
1735,train\fear\Training_83365248.jpg,2
5055,train\neutral\Training_93396539.jpg,4
3211,train\happy\Training_86186506.jpg,3
1807,train\fear\Training_84832938.jpg,2
6897,train\surprise\Training_68860232.jpg,6
6728,train\surprise\Training_64363613.jpg,6
431,train\angry\Training_91344014.jpg,0
1796,train\fear\Training_84675746.jpg,2
6418,train\sad\Training_94320672.jpg,5
5025,train\neutral\Training_92783968.jpg,4
5470,train\sad\Training_73954004.jpg,5
2909,train\happy\Training_81942732.jpg,3
6485,train\sad\Training_95612623.jpg,5
581,train\angry\Training_94924916.jpg,0
83,train\angry\Training_82247373.jpg,0
2976,train\happy\Training_82949525.jpg,3
5909,train\sad\Training_83021102.jpg,5
1065,train\disgust\Training_41238958.jpg,1
4054,train\happy\Training_97631438.jpg,3
6320,train\sad\Training_92005103.jpg,5
5874,train\sad\Training_82221340.jpg,5
1026,train\disgust\Training_33099414.jpg,1
21,train\angry\Training_81005354.jpg,0
3603,train\happy\Training_91352445.jpg,3
7589,train\surprise\Training_90736173.jpg,6
6086,train\sad\Training_86794808.jpg,5
5306,train\neutral\Training_98470246.jpg,4
5485,train\sad\Training_74279721.jpg,5
724,train\angry\Training_98000381.jpg,0
5801,train\sad\Training_80949693.jpg,5
7346,train\surprise\Training_82492123.jpg,6
922,train\disgust\PublicTest_99162116.jpg,1
1099,train\disgust\Training_49735203.jpg,1
5014,train\neutral\Training_92643007.jpg,4
1134,train\disgust\Training_56741392.jpg,1
3230,train\happy\Training_86358964.jpg,3
6000,train\sad\Training_85053221.jpg,5
4725,train\neutral\Training_86734784.jpg,4
5212,train\neutral\Training_96641462.jpg,4
7363,train\surprise\Training_83141348.jpg,6
6234,train\sad\Training_90067543.jpg,5
7136,train\surprise\Training_76055798.jpg,6
1975,train\fear\Training_89016091.jpg,2
1437,train\fear\Training_76025078.jpg,2
529,train\angry\Training_93896441.jpg,0
1102,train\disgust\Training_51323506.jpg,1
6165,train\sad\Training_88446392.jpg,5
7669,train\surprise\Training_93172846.jpg,6
3339,train\happy\Training_87824336.jpg,3
6766,train\surprise\Training_65663468.jpg,6
3681,train\happy\Training_92425389.jpg,3
5371,train\neutral\Training_99760416.jpg,4
2418,train\fear\Training_99480336.jpg,2
691,train\angry\Training_97264689.jpg,0
4137,train\happy\Training_98862396.jpg,3
89,train\angry\Training_82332156.jpg,0
2377,train\fear\Training_98636857.jpg,2
1385,train\fear\Training_74720326.jpg,2
488,train\angry\Training_92894213.jpg,0
5565,train\sad\Training_75787895.jpg,5
3893,train\happy\Training_95405690.jpg,3
13,train\angry\Training_80936636.jpg,0
3455,train\happy\Training_89205944.jpg,3
2423,train\fear\Training_99594882.jpg,2
7577,train\surprise\Training_90255651.jpg,6
7362,train\surprise\Training_83032535.jpg,6
5456,train\sad\Training_73771138.jpg,5
1940,train\fear\Training_88088826.jpg,2
560,train\angry\Training_94465060.jpg,0
6742,train\surprise\Training_64766681.jpg,6
5666,train\sad\Training_78222724.jpg,5
2476,train\happy\Training_76119559.jpg,3
4962,train\neutral\Training_91721825.jpg,4
1039,train\disgust\Training_3566649.jpg,1
3384,train\happy\Training_88305893.jpg,3
6938,train\surprise\Training_70172627.jpg,6
2740,train\happy\Training_79515203.jpg,3
57,train\angry\Training_81698292.jpg,0
1843,train\fear\Training_85697399.jpg,2
1986,train\fear\Training_89239029.jpg,2
3690,train\happy\Training_92489783.jpg,3
3668,train\happy\Training_92192542.jpg,3
2560,train\happy\Training_77214532.jpg,3
2914,train\happy\Training_82027891.jpg,3
6687,train\sad\Training_99834323.jpg,5
2006,train\fear\Training_89716625.jpg,2
3894,train\happy\Training_95420449.jpg,3
173,train\angry\Training_84625038.jpg,0
3242,train\happy\Training_86546545.jpg,3
5690,train\sad\Training_78580473.jpg,5
3595,train\happy\Training_91304897.jpg,3
7331,train\surprise\Training_81863139.jpg,6
732,train\angry\Training_98328519.jpg,0
4153,train\happy\Training_99083614.jpg,3
2139,train\fear\Training_92857315.jpg,2
3810,train\happy\Training_94114419.jpg,3
6705,train\surprise\Training_63727979.jpg,6
72,train\angry\Training_82035674.jpg,0
5645,train\sad\Training_77825744.jpg,5
2228,train\fear\Training_94801408.jpg,2
467,train\angry\Training_92340867.jpg,0
2288,train\fear\Training_96251939.jpg,2
6292,train\sad\Training_91315992.jpg,5
7676,train\surprise\Training_93560263.jpg,6
7875,train\surprise\Training_99924420.jpg,6
1661,train\fear\Training_81341928.jpg,2
5696,train\sad\Training_78714614.jpg,5
